# theta phi range e3 ex4
8.712834200000000351e+01 2.946288739999999962e+02 5.865597600000000256e+01 1.174495000000000067e+00 2.148930000000000007e-01
8.733135500000000206e+01 3.265343000000000018e+01 4.381763200000000325e+01 8.105930000000000080e-01 3.085609999999999742e-01
8.632425000000000637e+01 1.199888590000000050e+02 5.938795199999999852e+01 1.192382000000000053e+00 7.546079999999999455e-01
8.833135599999999954e+01 3.316222490000000107e+02 4.689607600000000076e+01 8.857960000000000278e-01 -3.260419999999999985e-01
8.859220899999999688e+01 2.998352350000000115e+02 5.387971300000000241e+01 1.057350000000000012e+00 -6.577399999999999913e-01
8.860135300000000314e+01 3.542415149999999926e+02 5.069485600000000147e+01 9.790480000000000294e-01 -5.816559999999999508e-01
8.882512300000000494e+01 2.188533679999999890e+02 4.922475800000000135e+01 9.429229999999999556e-01 -6.809460000000000512e-01
8.941660400000000664e+01 2.020527339999999867e+02 4.360181999999999647e+01 8.053399999999999448e-01 -8.651729999999999698e-01
8.809322099999999978e+01 1.968950670000000116e+02 2.969533099999999948e+01 4.764430000000000054e-01 1.210900000000000032e-01
8.670129400000000430e+01 3.056074600000000032e+02 4.758279499999999729e+01 9.026269999999999571e-01 6.315460000000000518e-01
8.894034800000000018e+01 3.068363949999999818e+02 5.102757799999999833e+01 9.872269999999999657e-01 -8.020019999999999927e-01
8.646828800000000115e+01 2.243651409999999942e+02 3.866394799999999776e+01 6.860680000000000112e-01 8.213420000000000165e-01
8.760227100000000178e+01 3.472892360000000167e+02 2.882841799999999921e+01 4.568439999999999723e-01 3.415320000000000022e-01
8.871327499999999588e+01 3.494099550000000249e+02 4.109477199999999897e+01 7.445380000000000331e-01 -4.059459999999999735e-01
8.725338299999999947e+01 1.905809380000000033e+02 3.752920999999999907e+01 6.589699999999999447e-01 4.245880000000000210e-01
8.947997200000000362e+01 2.037367390000000000e+02 3.097065200000000118e+01 5.055199999999999694e-01 -5.172130000000000338e-01
8.672344499999999812e+01 1.410849580000000003e+02 4.791378100000000018e+01 9.107439999999999980e-01 6.150729999999999809e-01
8.762294199999999478e+01 1.252131499999999953e+01 4.064098899999999759e+01 7.335829999999999851e-01 1.922740000000000005e-01
8.814591799999999466e+01 3.272882190000000264e+02 4.844058199999999914e+01 9.236699999999999910e-01 -2.492600000000000093e-01
8.866834199999999555e+01 3.265033379999999852e+02 3.942920900000000017e+01 7.044169999999999598e-01 -3.417979999999999907e-01
8.761860699999999724e+01 3.338979489999999828e+02 4.461607599999999962e+01 8.300530000000000408e-01 1.332679999999999976e-01
9.003934999999999889e+01 1.522024270000000001e+02 3.678471900000000261e+01 6.412670000000000314e-01 -9.709780000000000078e-01
8.885656000000000176e+01 1.742022249999999985e+02 4.950934500000000327e+01 9.499140000000000361e-01 -7.079299999999999482e-01
8.710421499999999639e+01 2.505485200000000034e+01 4.335182999999999964e+01 7.992580000000000240e-01 4.423509999999999942e-01
8.783753299999999342e+01 2.135637699999999839e+01 4.302319800000000072e+01 7.912679999999999714e-01 3.613000000000000239e-02
8.811050000000000182e+01 3.149686490000000276e+02 5.049701900000000165e+01 9.741849999999999676e-01 -2.719639999999999835e-01
8.735236399999999435e+01 1.957381640000000118e+02 3.242976999999999776e+01 5.391230000000000189e-01 4.227870000000000239e-01
8.630756700000000592e+01 2.131254749999999945e+02 5.641025400000000189e+01 1.119491999999999932e+00 7.954459999999999864e-01
8.757560100000000602e+01 2.960291520000000105e+02 5.591004000000000218e+01 1.107218999999999953e+00 -3.793300000000000144e-02
8.815989899999999579e+01 1.943671799999999905e+01 2.835357600000000033e+01 4.461689999999999823e-01 1.112609999999999988e-01
8.717820399999999381e+01 3.333497110000000134e+02 4.836945099999999798e+01 9.219239999999999657e-01 3.362580000000000013e-01
8.684297399999999811e+01 2.008360169999999982e+02 4.472846499999999992e+01 8.327949999999999520e-01 5.761610000000000342e-01
8.715141699999999503e+01 1.196008700000000005e+02 5.110358999999999696e+01 9.890959999999999752e-01 3.143489999999999895e-01
8.822434499999999957e+01 2.263135199999999969e+01 5.244610399999999828e+01 1.022105999999999959e+00 -3.869009999999999949e-01
8.852823100000000522e+01 4.886491999999999614e+00 4.340036500000000075e+01 8.004379999999999828e-01 -3.589999999999999858e-01
8.836714600000000530e+01 2.077277029999999911e+02 3.661544399999999655e+01 6.372510000000000119e-01 -1.253390000000000060e-01
8.808923000000000059e+01 5.078601499999999902e+01 4.428929099999999863e+01 8.220840000000000369e-01 -1.297040000000000137e-01
8.926932600000000662e+01 1.974167539999999974e+02 4.699192299999999989e+01 8.881440000000000445e-01 -8.841679999999999540e-01
8.894894100000000492e+01 1.759016700000000100e+01 4.153637899999999661e+01 7.552149999999999697e-01 -5.455980000000000274e-01
8.800032500000000368e+01 2.265166309999999896e+02 6.167024800000000084e+01 1.247988000000000097e+00 -4.460290000000000088e-01
8.727803099999999858e+01 2.339730509999999981e+02 4.388671399999999778e+01 8.122759999999999980e-01 3.378289999999999904e-01
8.771088399999999297e+01 2.445816800000000057e+01 3.520038999999999874e+01 6.038130000000000441e-01 2.230370000000000130e-01
8.688876000000000488e+01 3.507105900000000247e+02 5.245238499999999959e+01 1.022259999999999946e+00 4.616029999999999855e-01
8.819499199999999917e+01 1.506195079999999962e+02 3.491318799999999811e+01 5.970579999999999776e-01 -8.364999999999999172e-03
8.993532899999999586e+01 3.307482640000000060e+02 2.850975999999999999e+01 4.496749999999999914e-01 -6.396859999999999769e-01
8.614339800000000480e+01 1.197299199999999963e+01 5.575149300000000352e+01 1.103328000000000086e+00 9.098530000000000229e-01
8.730929999999999325e+01 3.207909769999999980e+02 3.732860699999999810e+01 6.541930000000000245e-01 3.981649999999999912e-01
8.790172099999999489e+01 2.196555499999999839e+01 3.538579099999999755e+01 6.081800000000000539e-01 1.270529999999999993e-01
8.863822199999999896e+01 2.216251959999999883e+02 4.927793599999999685e+01 9.442289999999999850e-01 -5.681629999999999736e-01
8.847172199999999975e+01 3.506711480000000165e+02 3.580852600000000052e+01 6.181529999999999525e-01 -1.610920000000000130e-01
8.681047399999999925e+01 5.489276999999999873e+01 4.116977899999999835e+01 7.463499999999999579e-01 6.254100000000000215e-01
8.734219299999999464e+01 1.589765500000000031e+02 3.132404999999999973e+01 5.136269999999999447e-01 4.359239999999999782e-01
8.587348299999999313e+01 2.189971470000000124e+02 5.311661200000000349e+01 1.038591000000000042e+00 1.102619999999999933e+00
8.883092200000000105e+01 3.556021910000000048e+02 4.784716999999999842e+01 9.091099999999999737e-01 -6.472550000000000248e-01
8.644540399999999636e+01 2.013133740000000103e+02 3.611137500000000244e+01 6.253109999999999502e-01 8.394930000000000447e-01
8.651566499999999849e+01 2.942639399999999839e+01 5.169296500000000094e+01 1.003587000000000007e+00 7.058569999999999567e-01
8.845511199999999974e+01 3.488120369999999753e+02 5.304140600000000205e+01 1.036742000000000052e+00 -5.483050000000000423e-01
8.613675600000000543e+01 1.484708359999999914e+02 4.421619799999999856e+01 8.203030000000000044e-01 9.826080000000000370e-01
